gene	log2FC	FDR
AL713998.1	2.1774265491125	2.12971528903608e-68
AC116049.1	3.15266158973118	2.32035187668206e-68
AC005019.1	3.07594823576739	2.76133221529724e-68
CALM2P4	3.1454256122572	3.13003819823569e-68
RF00592	2.68380351044915	3.1712745637368e-68
TUBB3P1	2.61767935373985	3.39874013822158e-68
RPL17P33	2.4378844015679	6.11613541037676e-68
AC126120.1	2.72889932610033	8.83922762539029e-68
RPL15P13	2.99669809561709	1.16740720620526e-67
AP002381.1	2.05861016167108	2.03766653549574e-67
RPL18P11	3.06174666387426	3.10621710203214e-67
AC092573.1	3.05569405796308	6.85832710826345e-67
PKMP2	2.72629148864871	8.35786712839631e-67
CD300E	2.16546146232904	8.42915036487481e-67
AC113367.1	2.98363013787907	1.47503726210072e-66
RPL21P17	2.7682996575738	2.69563595178794e-66
RPSAP1	2.47857346359472	3.11708873687277e-66
AC087650.1	2.39488788724454	3.19531567736555e-66
AP001858.1	3.21716483035829	4.47410395508529e-66
AC074276.1	2.79418367182603	4.64044315402332e-66
NOX4	2.00984500204258	5.94250080179511e-66
AC097358.1	2.49078598652917	6.84677239169359e-66
RPS4XP2	2.19153304933749	8.92395030654856e-66
MMP11	2.41992131746767	9.57244401076525e-66
RPS4XP11	2.13270379646215	1.00398466248837e-65
EEF1A1P21	2.89273278486388	1.49513048352712e-65
TAGLN2	2.04592433962128	1.62860445797815e-65
HBE1	2.56563954892682	2.31864961557282e-65
RPS4XP19	2.96651710270225	2.36932685239769e-65
TDO2	2.72165684829142	3.28947045659194e-65
MIR4435-2HG	2.33914688719381	3.45329766012155e-65
HNRNPLP1	2.32995644000535	3.92874523900297e-65
EIF4A1P7	2.21307370670912	4.57687671125867e-65
XRCC6P5	2.31861910987312	5.99987600039834e-65
AC008155.1	2.8527979619063	8.22636044736129e-65
AL096701.1	2.16398811700612	1.342264554435e-64
AC016894.1	2.88798390798852	1.54511081705898e-64
TREM1	3.29446227844524	1.75677556415116e-64
LDHBP2	2.04296889480466	1.98527404132425e-64
MCUB	2.15458059665241	2.02830785131324e-64
MTCO1P15	2.22667551813497	2.50196003662701e-64
AC093422.1	2.25573008440966	4.23369952893636e-64
PPIAP80	2.39672851738017	4.89242953939975e-64
RPL12P33	2.38112117861836	5.39952732649695e-64
TPT1P3	3.05399870476118	5.72098890427875e-64
AC113608.1	2.62928689204748	1.09291094817042e-63
AC135178.6	2.49984742495792	1.1356413822731e-63
RPL30P14	2.10642257749286	1.18014005137858e-63
AC112491.1	2.91658279594531	1.25605873759259e-63
ANPEP	2.11163161471446	1.45631162880681e-63
AC004129.1	2.55553780981297	1.8934417054451e-63
AC096631.2	2.76143236970197	3.30802223470962e-63
TUBBP6	2.97879700515456	4.09355637700682e-63
HINT1P1	2.52552098663524	4.13731996857945e-63
OACYLP	2.35174887463899	5.87085866713445e-63
RPL7AP7	2.87514569463164	6.63305752887339e-63
PCOLCE	2.47020627660469	7.40193444800251e-63
RPL7AP58	2.52481487575022	7.85414670170125e-63
PPIAP62	2.89149019263892	7.904756222106e-63
AC023424.1	3.27954816311277	8.66157473657377e-63
AC090686.1	2.34312210380553	1.05701490535679e-62
AC009413.1	2.25242002106588	1.11456747384149e-62
RPS2P28	2.55998347983162	1.14980450914912e-62
ACTP1	2.55957030761487	1.16501577639345e-62
CATSPER1	2.08389105258858	2.02281459629322e-62
AC078817.1	2.30350097968748	2.4015582705277e-62
RPL23AP89	2.85082604106741	4.11679851872224e-62
RPL29P30	2.65226614588169	5.92239823589229e-62
AL158071.1	2.45516241249424	8.72758058020811e-62
AC069271.1	2.99794529446712	1.09875915842454e-61
RPL3P12	2.1459233409108	1.36606020586968e-61
AL024509.2	2.93375503354114	1.76927437891519e-61
SNRPD2P1	2.92549425559365	2.05929911866561e-61
RPL12P37	2.51338707669556	2.27773233796496e-61
AC013356.1	2.0227630845848	3.08683837611902e-61
RPL10P17	2.82860008451776	4.1566886565182e-61
RPL10P10	2.89734239917249	5.9878017270117e-61
CALM2P1	3.054413365317	9.755045480626e-61
PRDX2P4	2.72144798073999	9.88533468559611e-61
RPL23AP75	2.44211783349737	1.00299117709504e-60
RPL12P19	2.2018682451716	1.10240239148402e-60
RPL23AP44	3.00906762698495	1.39431180619815e-60
LUM	2.94571697250008	1.52934152768588e-60
AC098614.2	2.83687336423083	1.55596383953076e-60
RPL12P13	2.37090498741129	1.72107840119264e-60
AC074052.1	2.81987510893668	3.19010246366155e-60
RPS4XP21	2.84327932534234	3.2157590623601e-60
TPT1P13	2.74667379381996	5.14198272004246e-60
AL645568.3	2.63016232213573	5.72527435354097e-60
AL161742.1	2.68636387283144	6.1047361841836e-60
LINC01614	3.71080413700819	7.35320534793356e-60
RPS27AP3	2.65853688168915	7.82715595804149e-60
AC096664.2	2.48782922569654	7.99333117018376e-60
RPS3AP4	2.63910314570474	9.50911753898302e-60
HIST2H2AC	2.07425346145163	1.11008125657878e-59
ELOBP2	2.4155091324808	1.11940749441989e-59
AL122013.1	2.61636717207594	1.25095170858807e-59
RPL7AP33	2.5406825787012	1.55670024690956e-59
AC003092.1	2.98512177974706	1.68978243513194e-59
RPL29P22	2.80868518979213	1.89001527508255e-59
SLPI	2.75924896074351	2.31233637179718e-59
AC027288.1	3.07604412859006	4.44749683555274e-59
AC068137.1	2.62962572980479	4.88630975728406e-59
MTRNR2L7	2.6339742774783	5.32344905855293e-59
DNM3OS	2.06821385525963	5.52626835761415e-59
HMGN2P7	2.75710995752236	8.52355579890982e-59
AC068205.3	2.11072878685832	8.83178235963164e-59
CA9	3.46809122096643	1.17435401999683e-58
RPL5P17	2.16804939613456	1.8306466399811e-58
AC234778.1	2.42293332712715	2.39248883441792e-58
RPL23AP46	2.89904750170673	3.10635463263799e-58
RPS18P6	2.66601553778014	3.32230410947898e-58
AL163973.1	2.80637498105595	3.90246071506123e-58
AL161781.1	3.05258094877841	3.92326400278693e-58
RPS4XP20	2.97417603444713	3.947395604272e-58
RPSAP13	2.43452272925921	4.17747796148228e-58
RPL17P41	2.58598012400973	5.75327349387972e-58
AC005262.1	2.71479618042296	6.55587654046589e-58
ANXA2	2.12777225467943	6.88249249233214e-58
RPL6P30	2.26232186254926	7.67486818013443e-58
AC093895.1	3.22516181355057	8.13170073929479e-58
ACTBP12	2.80108953683006	8.64662690571583e-58
RPL6P25	2.36999379597791	9.5369193787462e-58
